hackathon_id,hackathon_title,name,role,website
devpost:6b03587a38d5,GitLab AI Hackathon,Devpost,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/devpost-logo-mobile-f3aff76bfc0b6ada9bb4ddd773bfc534769ed793f962612804a1e84c305a5f94.svg
devpost:6b03587a38d5,GitLab AI Hackathon,Devpost for Teams,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/dft-logo-mobile-ab66dd5a4f4b2f045ad86d0e5f432dc85974c3d778b353d32213c24ca176484b.svg
devpost:80d225b49b03,Agents Assemble - The Healthcare AI Endgame,Devpost,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/devpost-logo-mobile-f3aff76bfc0b6ada9bb4ddd773bfc534769ed793f962612804a1e84c305a5f94.svg
devpost:80d225b49b03,Agents Assemble - The Healthcare AI Endgame,Devpost for Teams,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/dft-logo-mobile-ab66dd5a4f4b2f045ad86d0e5f432dc85974c3d778b353d32213c24ca176484b.svg
devpost:244c04501f0c,Real World AI Agents,Devpost,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/devpost-logo-mobile-f3aff76bfc0b6ada9bb4ddd773bfc534769ed793f962612804a1e84c305a5f94.svg
devpost:244c04501f0c,Real World AI Agents,Devpost for Teams,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/dft-logo-mobile-ab66dd5a4f4b2f045ad86d0e5f432dc85974c3d778b353d32213c24ca176484b.svg
devpost:50adfc9b18d2,AI Agent Builders Sydney,Devpost,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/devpost-logo-mobile-f3aff76bfc0b6ada9bb4ddd773bfc534769ed793f962612804a1e84c305a5f94.svg
devpost:50adfc9b18d2,AI Agent Builders Sydney,Devpost for Teams,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/dft-logo-mobile-ab66dd5a4f4b2f045ad86d0e5f432dc85974c3d778b353d32213c24ca176484b.svg
devpost:0a1662cb8799,AI Agent Builders - Brisbane,Devpost,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/devpost-logo-mobile-f3aff76bfc0b6ada9bb4ddd773bfc534769ed793f962612804a1e84c305a5f94.svg
devpost:0a1662cb8799,AI Agent Builders - Brisbane,Devpost for Teams,sponsor,https://d2dmyh35ffsxbl.cloudfront.net/assets/reimagine2/dft-logo-mobile-ab66dd5a4f4b2f045ad86d0e5f432dc85974c3d778b353d32213c24ca176484b.svg
